"","a","b"
"1","adam arkin","pamela a silver"
"2","ahmad s khalil","agomoni ganguli mitra"
"3","ali nouri","alan irwin"
"4","amelie cserer","alexander van oudenaarden"
"5","anna deplazes","alexandra seiringer"
"6","baker david","anna labno"
"7","barry canton","antoine danchin"
"8","brian j yeh","arthur caplan"
"9","brianna pearson","barbara a fechta"
"10","c verharen","c prowse"
"11","christian l barrett","chris j paddonb"
"12","christina d smolke","christopher f chyba"
"13","dae kyun robb","collin h martin"
"14","daniel g gibson","daniel j dwyer"
"15","dominique aubel","david berry"
"16","douglas j piteraa","david magnus"
"17","e ferguson","david nielsen"
"18","effendi leonard","diana m bowman"
"19","eric g gladstone","drew endy"
"20","farren j isaacs","emily c parke"
"21","gabrielle n samuel","eric m paradisea"
"22","gaymon bennett","eric m paradisea"
"23","graeme a hodge","erin d williams"
"24","heinz neumann","gautam mukunda"
"25","james m carothers","gaymon bennett"
"26","jane calvert","howard chou"
"27","jay d keasling","ian j molineux"
"28","jeff gore","james j collins"
"29","jennifer r anthony","jay d keasling"
"30","jesse stricker","jennifer byers corbin"
"31","joachim henkel","john i glass"
"32","jonathan b tucker","jonathan a goler"
"33","joy sinha","larry c anthony"
"34","kristala jones prather","lorna weir"
"35","leon y chan","markus huppenbauer"
"36","linda j kahl","martin fussenegger"
"37","lisa klasson","martin fussenegger"
"38","lorna weir","michael j selgelid"
"39","luis moroder","morgan meyer"
"40","m bujara","nediljko budisa"
"41","maja horst","nikolas rose"
"42","marcel tigges","nils gilman"
"43","mark a bedau","paul martin"
"44","markus schmidt","peter holtz"
"45","marnix h medema","petra neumann staubitz"
"46","michael j selgelid","pier luigi luisi"
"47","michelle c y chang","rachel a eachus"
"48","michelle c y chang","rainer breitling"
"49","mildred k cho","raymond a zilinskas"
"50","nicole kronberger","ron weiss"
"51","nigel m de s cameron","ron weiss"
"52","pablo ravasi","ron weiss"
"53","pasquale stano","s billerbeck"
"54","paul oldham","salvador peiru"
"55","paul rabinow","sam snell"
"56","paul rabinow","samuel j reyes"
"57","petra schwille","scott cookson"
"58","priscilla e m purnick","siv g e andersson"
"59","rachel wellhausen","sriram kosuri"
"60","ruth mampuys","stefan diez"
"61","ryan mcdaniel","stephen hall"
"62","ryan mcdaniel","stephen m maurer"
"63","seumas miller","tae yong kim"
"64","shlomiya bar yam","taizo hanai"
"65","shota atsumi","wendell a lim"
"66","stephen d unwina","church george"
"67","susan molyneux hodgson","frans w a brom"
"68","svitlana v pustovit","ian kerridge"
"69","vi ctor de lorenzo","j tharakan"
"70","yoichiro shiba","michael j selgelid"
"71","maureen a o malley","alexander powell"
"72","gabrielle n samuel","michael j selgelid"
"73","lalit kant","d t mourya"
"74","gabrielle n samuel","michael j selgelid"
"75","sibylle gaisser","thomas reiss"
"76","thomas douglas","julian savulescu"
"77","frida kuhlau","stefan eriksson"
"78","filippa lentzos","gaymon bennett"
"79","mildred k cho","david a relman"
"80","robin fears","volker ter meulen"
"81","arti rai","james boyle"
"82","ponnusamy kumar","rajendiran sutha"
"83","meinhard schiller","dieter metze"
"84","m korenova","j stano"
"85","zheng jun guan","markus schmidt"
"86","adam arkin","george chruch"
"87","baker david","collins jim"
"88","barry canton","drew endy"
"89","brianna pearson","kyri bye nagel"
"90","c verharen","g middendorf"
"91","christian l barrett","hyun uk kim"
"92","dae kyun robb","mario ouellet"
"93","daniel g gibson","carole lartigue"
"94","douglas j piteraa","jack d newman"
"95","e ferguson","e townsend"
"96","effendi leonard","kevin solomon"
"97","eric g gladstone","james j bull"
"98","farren j isaacs","james j collins"
"99","gabrielle n samuel","michael j selgelid"
"100","gaymon bennett","anthony stavrianakis"
"101","graeme a hodge","andrew d maynard"
"102","james m carothers","jay d keasling"
"103","jennifer r anthony","farnaz nowroozi"
"104","jesse stricker","matthew r bennett"
"105","joy sinha","justin p gallivan"
